n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
221	1183637	27923.92	1061672	1269362	1120146	1138133	1149332	1161622	1170096	1178105	1184216	1189472	1196217	1205720	1218677	1231583	1236734
222	1200251	29399.12	1092460	1303160	1135021	1150067	1162221	1176709	1187306	1194556	1201314	1207025	1214879	1222778	1235093	1245932	1253634
223	1215056	28258.86	1098219	1306616	1149761	1168118	1180276	1193105	1202802	1209814	1215537	1221234	1227913	1238271	1251063	1260420	1267197
224	1232013	26788.12	1123262	1307356	1173987	1186019	1199286	1210859	1219127	1225747	1232197	1238771	1244811	1252543	1266327	1278010	1284091
225	1246786	29830.21	1093439	1355988	1178566	1194309	1208965	1226008	1234812	1242395	1248375	1254466	1260391	1269692	1280753	1293943	1301829
226	1266258	29895.05	1142868	1379254	1198466	1216113	1229973	1243502	1252399	1260439	1267182	1273925	1281302	1289485	1301847	1311619	1321380
227	1283137	27653.89	1162338	1363680	1221692	1235083	1247164	1261081	1270198	1277185	1283905	1289933	1297832	1306462	1316428	1325826	1333345
228	1299733	29782.58	1158993	1396076	1234001	1248005	1261056	1277153	1287021	1294212	1301637	1307512	1313757	1322396	1335564	1349075	1357577
229	1316325	29785.6	1206678	1395711	1243722	1263784	1279605	1295574	1303547	1311013	1317705	1324346	1330498	1338627	1351364	1366253	1373427
230	1333683	31190.41	1187668	1440683	1262153	1278647	1295170	1311637	1320143	1328454	1334803	1340786	1348402	1357721	1371106	1382451	1390807
231	1353832	32050.30	1195794	1465194	1285927	1302616	1312278	1328026	1337626	1347921	1354644	1361423	1369434	1377942	1394153	1405637	1412930
232	1370111	29491.52	1257971	1478902	1302953	1320420	1331576	1347762	1357468	1365459	1371493	1377378	1385302	1393506	1403376	1415187	1424968
233	1387343	30473.88	1253986	1489878	1312760	1333628	1347731	1364541	1374546	1382771	1389755	1395297	1402791	1411353	1423960	1434335	1439540
234	1405184	31410.37	1272506	1529023	1335530	1349905	1364897	1381086	1392424	1400121	1406719	1413351	1419541	1428607	1444238	1454279	1461974
235	1426111	31754.14	1298564	1527184	1355202	1373405	1386434	1400613	1412087	1419337	1426350	1433122	1440251	1450089	1466063	1477423	1486922
236	1440581	33616.99	1326583	1545807	1362572	1382212	1396723	1415555	1426353	1434552	1441490	1449240	1456605	1465482	1481562	1496242	1506133
237	1459695	32011.39	1317945	1553329	1387881	1405048	1417440	1435391	1444538	1454055	1461425	1468046	1475619	1483926	1496973	1513113	1520802
238	1479441	32921.57	1362869	1598923	1402099	1425274	1438073	1455039	1465350	1472199	1479069	1485791	1493656	1504036	1521355	1536472	1545212
239	1497044	34090.21	1379383	1666024	1422826	1440664	1453656	1469907	1481964	1491369	1497974	1504599	1511725	1522458	1539221	1550613	1560074
240	1516929	33515.7	1383010	1627833	1443215	1460253	1476557	1491186	1500783	1510473	1518433	1525445	1533846	1543427	1555845	1568319	1578026
