n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
156	15822476	101414.2	15333700	16031793	15554260	15629663	15691850	15753913	15784468	15810381	15834826	15859263	15885716	15908721	15933833	15953053	15967774
157	16240784	102355.9	15734659	16448218	15961471	16051412	16107794	16172783	16206809	16233011	16256537	16277112	16298253	16325040	16352958	16370015	16387005
158	16661833	98666.7	16203342	16876079	16424255	16475312	16525446	16586877	16622849	16652054	16677120	16698053	16720996	16744901	16774371	16791780	16808331
159	17093053	104193.5	16542681	17300033	16806031	16900029	16956330	17023092	17056765	17088848	17109715	17132518	17153832	17177053	17205682	17224146	17239488
160	17531916	106799.4	16718984	17743457	17239155	17317728	17398869	17457158	17498154	17523299	17548011	17570608	17592619	17618160	17648591	17670248	17683665
161	17974849	106697.8	17408982	18184372	17696230	17782936	17831627	17892491	17933979	17966768	17992324	18015839	18037993	18063982	18092829	18112672	18126267
162	18434823	108553.7	17898473	18642404	18144375	18232974	18293753	18354562	18395038	18425537	18450893	18474517	18500003	18529751	18558793	18577387	18592701
163	18893693	115173.4	18278686	19120712	18597047	18678342	18742449	18810388	18858360	18887301	18909749	18935608	18959924	18988670	19019020	19045486	19058130
164	19370086	114058.7	18559314	19608166	19075838	19164106	19224518	19294699	19333745	19361093	19389707	19411175	19436005	19460144	19491443	19514810	19531086
165	19845811	113702.4	19131787	20097793	19580278	19645627	19690823	19760326	19802087	19833456	19865249	19892287	19914629	19936452	19972471	19995042	20012126
166	20331097	126095.9	19538569	20597113	19958547	20102801	20173178	20237713	20285372	20323293	20356195	20383290	20405345	20432840	20465975	20488041	20499120
167	20837798	126813.9	20175088	21065140	20469612	20621255	20678271	20751218	20799698	20832253	20858836	20882297	20912823	20941095	20970788	20998188	21007990
168	21355461	132030.6	20575986	21595388	21009456	21098469	21190518	21262705	21313905	21352921	21386027	21408433	21432257	21460759	21493338	21515751	21525944
169	21867327	121291.1	21411348	22095144	21548202	21629601	21709023	21772549	21820787	21856631	21887640	21913949	21941724	21966744	22006725	22032910	22046671
170	22391393	122812.0	21891248	22645684	22076379	22152257	22220018	22286217	22342895	22378840	22407786	22435109	22467449	22497939	22533506	22557138	22571168
171	22927238	134738.3	22150816	23204170	22540096	22674496	22765543	22835848	22880287	22919160	22954221	22982746	23007942	23034443	23065506	23093777	23110215
