n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
180	637874.4	17148.7	569963	698579	602123	607057	613991	623471	630325	635297	639438	642948	647229	651728	658255	663531	666491
181	646600.1	17064.65	578647	700407	608565	618398	625075	632682	637611	642493	647100	651123	655581	661427	667618	673389	677655
182	659089.6	18013.25	580734	718305	620669	628958	635028	644096	651079	655431	659668	664053	668535	673519	680550	688189	693381
183	669201.6	17740.31	600925	742421	629645	638588	646675	654895	660548	665880	669991	673901	678718	684022	690525	697432	700529
184	680742.9	18964.72	619922	737501	638153	649100	656574	665317	671041	676639	681029	686006	690728	696255	704098	711180	716989
185	692477.3	19075.68	630375	746057	649315	658330	667444	676231	683352	689463	693663	698104	703457	708720	715381	721262	725200
186	703326.5	18518.02	640186	759510	660168	670249	677306	688871	695397	700306	704395	708851	713690	718182	724968	731449	735504
187	716307.7	20031.97	639330	779474	671247	682664	691299	700148	707433	712405	716297	720911	726286	732291	741731	748940	754477
188	726671.6	20188.22	640559	783375	681197	692145	700259	710222	717007	722769	727928	732697	737547	742899	751323	758146	761858
189	739459.1	19872.15	661236	803017	695146	706117	713947	724505	730096	735519	740040	744949	749477	755373	763824	770345	776024
190	749094.1	20221.37	683700	802735	701227	714612	722687	732390	739709	745079	749815	754528	760103	765891	774334	781182	784745
191	762583.8	20779.66	683022	820840	714326	727444	736105	745870	752470	758245	763872	768794	773362	780035	787996	795084	799148
192	774701.1	21109.04	695849	841974	726744	736383	747056	757909	765112	770471	776381	780885	785481	791316	800287	807647	811948
193	787398.2	20990.56	717114	845361	740941	752242	759814	770270	777061	782657	787750	792779	798649	804224	813968	821806	826580
194	799201.7	19927.40	735049	863382	758512	765729	773356	782538	789833	794713	798608	803878	809093	816114	825036	832189	837225
195	811406	22542.40	703811	885883	762881	773683	780389	793866	800947	806688	812377	817728	822694	830242	839084	846579	851152
196	824689.4	21123.38	755618	900125	780257	790549	798333	806345	813562	819715	824927	829813	835127	841365	852024	858773	863971
197	836636.4	21543.22	756928	903537	788182	799814	807735	819015	826244	832801	837570	842895	848479	854755	862257	870140	875299
198	848720.9	21113.36	768725	916565	802700	811905	820025	831896	838987	844972	849781	854424	859479	865725	874924	882239	885510
199	862805.7	22761.24	779683	922948	811506	821276	832629	843349	852289	859615	864735	869786	874531	881395	890470	898280	902266
200	875844.6	22472.09	796380	943222	826312	837241	845633	857598	866049	871659	877422	881715	887025	893915	904507	913096	918248
201	888601.5	22282.00	791808	947995	839022	849769	859347	869697	878415	884918	890054	894680	900151	908124	915882	922705	927631
202	903052.1	23094.98	812354	972088	850224	863810	873874	884240	892952	898686	904135	910585	914741	920939	931669	939747	943189
203	917226.5	22382.24	843567	992247	866147	877235	886877	898872	907078	913618	919045	923558	928978	936336	943351	951718	956083
204	928451.3	23415.50	839576	1001512	874760	888334	898709	910237	917653	924395	929745	934586	940232	946111	956336	965462	972616
205	942131.3	23972.94	843339	1009468	891652	899098	911861	921911	930282	937613	943327	949289	955181	962116	971877	978830	985114
206	957984.2	24428.95	840072	1036007	905850	916658	926650	938567	946521	952256	958574	963881	969519	977970	988405	999168	1004108
207	971735	24025.34	896800	1042953	916606	931667	940974	952156	960318	966747	972571	977841	983405	990945	1002458	1011084	1015920
208	984643.5	25637.56	902210	1058262	927703	938769	952558	963316	972207	979609	985833	991744	997992	1005436	1016796	1027223	1032358
209	1001453	25852.96	896168	1086265	943487	957719	969556	981186	988863	995213	1002493	1009171	1015634	1022842	1032072	1041550	1047406
210	1014044	26044.87	940380	1093018	955421	968763	979852	992029	1001347	1008945	1015561	1020829	1026949	1035573	1047250	1056722	1061971
211	1028491	25787.26	941375	1102360	970325	981938	994855	1007279	1016837	1024385	1030324	1036215	1042179	1049670	1060349	1068052	1073632
212	1044550	25779.2	931265	1126163	988731	1001379	1010339	1022893	1032538	1039394	1046379	1052805	1058340	1066452	1076425	1083180	1088927
213	1058540	27188.43	939334	1135884	998958	1012464	1023052	1036941	1044971	1052429	1060362	1066592	1073415	1081556	1091897	1099675	1105697
214	1073172	27050.63	978492	1155722	1014820	1025532	1038775	1050402	1059315	1067511	1074229	1080833	1088296	1096791	1105333	1113978	1117425
215	1088246	26256.24	1001799	1168919	1030217	1044809	1054921	1066425	1075534	1082095	1088554	1095250	1102150	1108958	1120097	1131818	1138084
216	1104830	26968.8	1003385	1177525	1042972	1059869	1069271	1083115	1092497	1098690	1105279	1111867	1119338	1128092	1138028	1147707	1151849
217	1117633	28748.13	1013324	1228623	1053145	1068381	1080195	1094210	1103755	1110775	1118900	1125227	1132347	1141016	1153083	1163891	1170644
218	1135133	28043.95	1016738	1231568	1075734	1088382	1097266	1113542	1122269	1129196	1135954	1143472	1150572	1158817	1168470	1178309	1185084
219	1152441	27943.58	1055148	1243340	1086229	1104561	1115191	1130467	1139689	1147661	1153269	1159456	1167167	1175571	1185855	1196869	1204017
220	1167431	28563.55	1067620	1244351	1102276	1118037	1131167	1143623	1153652	1162285	1169150	1174917	1182220	1190667	1202639	1212803	1219929
221	1182753	28609.05	1083462	1282414	1120434	1136046	1147092	1160608	1169535	1176360	1183469	1188834	1197124	1206472	1218313	1228975	1236382
